Cover Image,Phase,PSNR,SSIM,MSE,Entropy Diff,Blue_Cover,Blue_Stego,Blue_Detect,Green_Cover,Green_Stego,Green_Detect,Red_Cover,Red_Stego,Red_Detect
img_23.jpg,phase4_3,99.1401,1.0,0.0,-0.0,573939.6887347971,573940.3229033694,more detectable by 0.6341685723746195,510686.61480597674,510687.4701187281,more detectable by 0.8553127513732761,581686.9717897004,581686.9717897004,equal
img_23.jpg,phase4_4,99.6231,1.0,0.0,0.0,573939.6887347971,573940.2242622479,more detectable by 0.5355274508474395,510686.61480597674,510686.7192583743,more detectable by 0.1044523975579068,581686.9717897004,581686.4891736319,less detectable by 0.48261606856249273
img_24.jpg,phase1,101.1514,1.0,0.0,0.0,308246.04493854434,308246.0816914173,more detectable by 0.036752872983925045,5407.754175260585,5407.531718528451,less detectable by 0.2224567321336508,95883.21945105137,95883.45691803154,more detectable by 0.23746698017930612
img_24.jpg,phase2,92.0539,1.0,0.0,-0.0,308246.04493854434,308243.1228292766,less detectable by 2.922109267732594,5407.754175260585,5416.019309684066,more detectable by 8.265134423480959,95883.21945105137,95889.27880838157,more detectable by 6.059357330203056
img_24.jpg,phase3,100.6889,1.0,0.0,0.0,308246.04493854434,308234.1894357152,less detectable by 11.855502829130273,5407.754175260585,5408.436710208616,more detectable by 0.6825349480313889,95883.21945105137,95874.7040609461,less detectable by 8.515390105269034
img_24.jpg,phase4_1,101.7243,1.0,0.0,-0.0,308246.04493854434,308246.2647524316,more detectable by 0.2198138872627169,5407.754175260585,5408.259601829537,more detectable by 0.5054265689523163,95883.21945105137,95883.6525075295,more detectable by 0.43305647814122494
img_24.jpg,phase4_2,97.9971,1.0,0.0,0.0,308246.04493854434,308241.78967802966,less detectable by 4.255260514677502,5407.754175260585,5407.988667844347,more detectable by 0.23449258376240323,95883.21945105137,95883.92647853479,more detectable by 0.707027483425918
img_24.jpg,phase4_3,97.6786,1.0,0.0,0.0,308246.04493854434,308236.9267779882,less detectable by 9.118160556128714,5407.754175260585,5406.76328956191,less detectable by 0.9908856986749015,95883.21945105137,95883.21945105137,equal
img_24.jpg,phase4_4,97.8123,1.0,0.0,0.0,308246.04493854434,308243.3296133963,less detectable by 2.715325148019474,5407.754175260585,5408.515154296341,more detectable by 0.7609790357564634,95883.21945105137,95884.30270037147,more detectable by 1.0832493201014586
img_25.jpg,phase1,92.9345,1.0,0.0,-0.0,2758.664168303614,2759.713934196161,more detectable by 1.0497658925469295,2758.664168303614,2759.1008962713513,more detectable by 0.4367279677371698,2758.664168303614,2759.2145485228984,more detectable by 0.5503802192843068
