
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
img_295_phase4_1.png,false,20818,0.005670189802816135,0.003176904662306689,null,0.006602943310231195,0.005150012591784673
img_295_phase4_2.png,false,17583,0.005653919345701946,0.003036327362969094,null,0.006610742156368045,0.005100329621679695
img_295_phase4_3.png,false,20530,0.00565798123051739,0.002969696747186993,null,0.006608850457539022,0.005078842811747802
img_295_phase4_4.png,false,17796,0.0057047040772777455,0.003176904620977011,null,0.006604826547594242,0.005162145081949667
img_295_phase4_5.png,false,17759,0.005676270773167874,0.003176904819510891,null,0.006601195411137845,0.005151457001272204
img_296_phase1.png,false,13596,0.0215800372516501,0.09757200121025358,0.03631479994206998,0.038039926518264267,0.04837669123055948
img_296_phase2.png,false,13593,0.022003509698988323,0.0974872190670306,0.036013481566080856,0.03794742064410068,0.04836290774405011
img_296_phase3.png,false,14181,0.02162586462388072,0.09719587862300412,0.03652926979499053,0.03795415339924689,0.04832629161028057
img_296_phase4_1.png,false,14222,0.022285648814648874,0.09715900056457262,0.03637168778610819,0.03804114936370498,0.04846437163225867
img_296_phase4_2.png,false,13635,0.022003672505138218,0.09754962488689967,0.0363904190356346,0.038111944546737414,0.048513915243602476
img_296_phase4_3.png,false,14158,0.021250711682107046,0.09743906603494232,0.036367966089722294,0.037935621670245834,0.04824834136925438
img_296_phase4_4.png,false,13588,0.022051635125042393,0.09715885229098663,0.036271275049261364,0.03790338554449153,0.048346287002445476
img_296_phase4_5.png,false,13543,0.02129642084691587,0.09715870247681474,0.0363796875851095,0.03791915429100767,0.048188491299961944
img_299_phase1.png,false,152854,0.012885664139262924,3.6079725625318E-8,0.09230457673816873,0.09124032400961103,0.04910765024169208
img_299_phase2.png,false,153632,0.013103453937241724,2.6607067787083133E-4,0.0926127544032284,0.09144508141583829,0.04935684010854481
img_299_phase3.png,false,159812,0.012846753646207838,0.0,0.09227715065931992,0.09122369957455789,0.04908690097002141
img_299_phase4_1.png,false,159800,0.01285637593025935,0.0,0.0922642167719457,0.091214549711071,0.04908378560331901
img_299_phase4_2.png,false,152995,0.012932787083814335,5.331990519445887E-5,0.09235070063814732,0.09127129062977363,0.049152024564232434
img_299_phase4_3.png,false,159942,0.012853168988057004,5.331990519445887E-5,0.09233753890447638,0.09126273487883954,0.04912669066914185
